Customer ID,Name,,,,Region,Job Classification,,Balance
100000001,Simon,,,,England,White Collar,,113810.15
400000002,Jasmine,,,,Northern Ireland,Blue Collar,,36919.73
100000003,Liam,,,,England,White Collar,,101536.83
300000004,Trevor,,,,Wales,White Collar,,1421.52
100000005,Deirdre,,,,England,Blue Collar,,35639.79
300000006,Ava,,,,Wales,Blue Collar,,122443.77
100000007,Dorothy,,,,England,Blue Collar,,42879.84
200000008,Lisa,,,,Scotland,Other,,36680.17
300000009,Ruth,,,,Wales,White Collar,,74284.35
100000010,Dominic,,,,England,White Collar,,10912.45
100000011,Dominic,,,,England,White Collar,,39667.83
100000012,Benjamin,,,,England,White Collar,,32281.62
100000013,Ryan,,,,England,White Collar,,40781.63
200000014,Thomas,,,,Scotland,Other,,48791.46
300000015,Madeleine,,,,Wales,Other,,2846.03
100000016,Nicholas,,,,England,White Collar,,2116.85
200000017,Grace,,,,Scotland,Other,,10356.31
200000018,Samantha,,,,Scotland,Other,,3801.69
100000019,William,,,,England,Blue Collar,,65534.69
100000020,Audrey,,,,England,Blue Collar,,11462.64
300000021,Boris,,,,Wales,Other,,31778.9
200000022,Jason,,,,Scotland,Blue Collar,,21252.97
300000023,Deirdre,,,,Wales,White Collar,,66785.78
200000024,Carl,,,,Scotland,Blue Collar,,6580.81
100000025,Jennifer,,,,England,White Collar,,20505.32
200000026,Richard,,,,Scotland,Blue Collar,,43249.26
400000027,Rachel,,,,Northern Ireland,White Collar,,3967.2
100000028,Alison,,,,England,White Collar,,3428.56
200000029,Lucas,,,,Scotland,Blue Collar,,20516.1
100000030,Luke,,,,England,White Collar,,10813.83
100000031,Megan,,,,England,White Collar,,38889.76
300000032,Warren,,,,Wales,White Collar,,14094.01
200000033,Grace,,,,Scotland,Other,,25865.2
100000034,Jake,,,,England,Other,,5833.62
100000035,Karen,,,,England,Blue Collar,,77809.59
100000036,Yvonne,,,,England,White Collar,,31680.67
100000037,Sophie,,,,England,White Collar,,20504.37
100000038,Robert,,,,England,Other,,5688.36
200000039,Luke,,,,Scotland,Blue Collar,,12848.59
200000040,Gavin,,,,Scotland,Other,,114456.23
100000041,Edward,,,,England,Blue Collar,,51412.6
100000042,Diane,,,,England,White Collar,,9695.7
200000043,Jake,,,,Scotland,Blue Collar,,114021.21
400000044,Yvonne,,,,Northern Ireland,Other,,107728.07
100000045,Dorothy,,,,England,Other,,2893.19
200000046,Lisa,,,,Scotland,Other,,54589.61
200000047,Leah,,,,Scotland,Other,,59501.63
400000048,Carolyn,,,,Northern Ireland,Other,,14337.82
100000049,Simon,,,,England,White Collar,,23921.89
100000050,Charles,,,,England,White Collar,,39034.14
100000051,Sophie,,,,England,Blue Collar,,1401.43
100000052,Kimberly,,,,England,Blue Collar,,41626.25
100000053,Madeleine,,,,England,Other,,47551.7
100000054,Irene,,,,England,White Collar,,24187.98
100000055,Cameron,,,,England,White Collar,,4912.21
100000056,Liam,,,,England,White Collar,,58391.45
100000057,Donna,,,,England,Blue Collar,,58033.89
100000058,Piers,,,,England,White Collar,,35831.2
100000059,Phil,,,,England,Other,,1879.85
100000060,Ryan,,,,England,White Collar,,23375.57
100000061,Kylie,,,,England,White Collar,,4586.23
100000062,Fiona,,,,England,Other,,20336.8
100000063,Kevin,,,,England,White Collar,,22414.93
100000064,Bernadette,,,,England,White Collar,,40305.24
200000065,Maria,,,,Scotland,Other,,18091.36
200000066,Piers,,,,Scotland,Blue Collar,,20076.8
200000067,Dan,,,,Scotland,Blue Collar,,5300.47
200000068,Lucas,,,,Scotland,Blue Collar,,7162.43
200000069,Jason,,,,Scotland,Blue Collar,,35751.37
200000070,Kevin,,,,Scotland,Other,,15013.76
200000071,Dan,,,,Scotland,Blue Collar,,70041.44
200000072,Angela,,,,Scotland,Other,,35937.38
300000073,Hannah,,,,Wales,White Collar,,41442.1
300000074,Oliver,,,,Wales,Other,,36696.92
400000075,Olivia,,,,Northern Ireland,White Collar,,21.03
200000076,Michael,,,,Scotland,Blue Collar,,58237.65
100000077,Frank,,,,England,White Collar,,28509.46
100000078,Diane,,,,England,Other,,38715.45
300000079,Ruth,,,,Wales,Blue Collar,,7370.52
100000080,David,,,,England,White Collar,,245.46
100000081,Joan,,,,England,White Collar,,59935.75
100000082,Neil,,,,England,White Collar,,11624.36
100000083,Paul,,,,England,Blue Collar,,9346.66
100000084,Dylan,,,,England,White Collar,,43770.37
100000085,Pippa,,,,England,White Collar,,63642.19
100000086,Matt,,,,England,White Collar,,22831.08
100000087,Jack,,,,England,Other,,4846.57
100000088,Jasmine,,,,England,White Collar,,71571.52
100000089,Michelle,,,,England,White Collar,,42409.89
100000090,Wanda,,,,England,White Collar,,4194.57
